Cr1             0.00000000   -0.14258222   -0.07483789    4.9247    3.7821
Cr2            -0.00000000    0.14258222    6.24483789    4.9251    3.7814
Cr3             1.96699985    3.54952624    0.07483789    4.9255    3.7821
Cr4             1.96699985    3.26436181    6.09516211    4.9250    3.7823
Cr5             1.96699985   -3.26436181    0.07483789    4.9258    3.7819
Cr6             1.96699985   -3.54952624    6.09516211    4.9252    3.7821
Cr7             3.93399970   -0.14258222   -0.07483789    4.9252    3.7820
Cr8             3.93399970    0.14258222    6.24483789    4.9250    3.7820
Cr9             0.00000000    0.00000000    3.08500000    5.0369    3.9429
Cr10            1.96699985    3.40694402    9.25500000    5.0362    3.9429
Cr11            1.96699985   -3.40694402    9.25500000    5.0371    3.9421
Cr12            3.93399970    0.00000000    3.08500000    5.0360    3.9426
Cr1 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr2 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr3 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr4 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr5 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr6 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr7 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr8 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr9 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr10 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr11 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr12 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
   Cr6   Cr1   (  1,   1,   1)  0.5763   ( 5.901,  3.407,  6.170)  9.192 
   Cr6   Cr1   (  0,  -1,   1)  0.0108   (-5.901, -3.407,  6.170)  9.192 
   Cr2   Cr3   ( -1,  -1,   0)  0.0112   (-5.901,  3.407, -6.170)  9.192 
   Cr2   Cr5   ( -1,  -1,   0)  0.5497   (-5.901, -3.407, -6.170)  9.192 
   Cr3   Cr8   ( -1,  -1,   0)  0.0123   (-5.901, -3.407,  6.170)  9.192 
   Cr5   Cr8   ( -1,  -1,   0)  0.5511   (-5.901,  3.407,  6.170)  9.192 
   Cr3   Cr2   ( -1,   0,   0)  0.5421   (-5.901,  3.407,  6.170)  9.192 
   Cr8   Cr5   ( -1,   0,   0)  0.0068   (-5.901,  3.407, -6.170)  9.192 
   Cr5   Cr2   (  0,  -1,   0)  0.0067   (-5.901, -3.407,  6.170)  9.192 
   Cr8   Cr3   (  0,  -1,   0)  0.5597   (-5.901, -3.407, -6.170)  9.192 
   Cr2   Cr5   (  0,   1,   0)  0.0067   ( 5.901,  3.407, -6.170)  9.192 
   Cr3   Cr8   (  0,   1,   0)  0.5597   ( 5.901,  3.407,  6.170)  9.192 
   Cr2   Cr3   (  1,   0,   0)  0.5421   ( 5.901, -3.407, -6.170)  9.192 
   Cr3   Cr2   (  1,   1,   0)  0.0112   ( 5.901, -3.407,  6.170)  9.192 
   Cr5   Cr2   (  1,   1,   0)  0.5497   ( 5.901,  3.407,  6.170)  9.192 
   Cr8   Cr3   (  1,   1,   0)  0.0123   ( 5.901,  3.407, -6.170)  9.192 
   Cr8   Cr5   (  1,   1,   0)  0.5511   ( 5.901, -3.407, -6.170)  9.192 
   Cr12  Cr10  (  1,   1,   0)  0.1895   ( 5.901,  3.407,  6.170)  9.192 
   Cr12  Cr11  (  1,   1,   0)  3.0876   ( 5.901, -3.407,  6.170)  9.192 
   Cr3   Cr8   ( -1,  -1,  -1)  0.5545   (-5.901, -3.407, -6.170)  9.192 
   Cr5   Cr8   ( -1,  -1,  -1)  0.0085   (-5.901,  3.407, -6.170)  9.192 
   Cr9   Cr10  ( -1,  -1,  -1)  3.0091   (-5.901,  3.407, -6.170)  9.192 
   Cr9   Cr11  ( -1,  -1,  -1)  0.1943   (-5.901, -3.407, -6.170)  9.192 
   Cr5   Cr2   (  0,  -1,  -1)  0.5756   (-5.901, -3.407, -6.170)  9.192 
   Cr12  Cr10  (  0,  -1,  -1)  0.1913   (-5.901, -3.407, -6.170)  9.192 
   Cr5   Cr8   (  1,   0,  -1)  0.5704   ( 5.901, -3.407, -6.170)  9.192 
   Cr9   Cr10  (  1,   0,  -1)  0.2008   ( 5.901, -3.407, -6.170)  9.192 
   Cr3   Cr2   (  1,   1,  -1)  0.5512   ( 5.901, -3.407, -6.170)  9.192 
   Cr5   Cr2   (  1,   1,  -1)  0.0078   ( 5.901,  3.407, -6.170)  9.192 
   Cr3   Cr2   ( -1,   0,  -1)  0.0058   (-5.901,  3.407, -6.170)  9.192 
   Cr12  Cr11  ( -1,   0,  -1)  2.9722   (-5.901,  3.407, -6.170)  9.192 
   Cr3   Cr8   (  0,   1,  -1)  0.0089   ( 5.901,  3.407, -6.170)  9.192 
   Cr9   Cr11  (  0,   1,  -1)  3.0544   ( 5.901,  3.407, -6.170)  9.192 
   Cr2   Cr3   ( -1,  -1,   1)  0.5512   (-5.901,  3.407,  6.170)  9.192 
   Cr2   Cr5   ( -1,  -1,   1)  0.0078   (-5.901, -3.407,  6.170)  9.192 
   Cr10  Cr12  ( -1,  -1,   1)  3.0660   (-5.901, -3.407,  6.170)  9.192 
   Cr11  Cr12  ( -1,  -1,   1)  0.2022   (-5.901,  3.407,  6.170)  9.192 
   Cr8   Cr5   ( -1,   0,   1)  0.5704   (-5.901,  3.407,  6.170)  9.192 
   Cr10  Cr9   ( -1,   0,   1)  0.2008   (-5.901,  3.407,  6.170)  9.192 
   Cr2   Cr5   (  0,   1,   1)  0.5756   ( 5.901,  3.407,  6.170)  9.192 
   Cr10  Cr12  (  0,   1,   1)  0.1913   ( 5.901,  3.407,  6.170)  9.192 
   Cr8   Cr3   (  1,   1,   1)  0.5545   ( 5.901,  3.407,  6.170)  9.192 
   Cr8   Cr5   (  1,   1,   1)  0.0085   ( 5.901, -3.407,  6.170)  9.192 
   Cr10  Cr9   (  1,   1,   1)  3.0091   ( 5.901, -3.407,  6.170)  9.192 
   Cr11  Cr9   (  1,   1,   1)  0.1943   ( 5.901,  3.407,  6.170)  9.192 
   Cr8   Cr3   (  0,  -1,   1)  0.0089   (-5.901, -3.407,  6.170)  9.192 
   Cr11  Cr9   (  0,  -1,   1)  3.0544   (-5.901, -3.407,  6.170)  9.192 
   Cr2   Cr3   (  1,   0,   1)  0.0058   ( 5.901, -3.407,  6.170)  9.192 
   Cr6   Cr7   (  1,   0,   1)  0.0104   ( 5.901, -3.407,  6.170)  9.192 
   Cr11  Cr12  (  1,   0,   1)  2.9722   ( 5.901, -3.407,  6.170)  9.192 
   Cr1   Cr4   ( -1,  -1,   0)  0.5492   (-5.901,  3.407,  6.170)  9.192 
   Cr1   Cr6   ( -1,  -1,   0)  0.0127   (-5.901, -3.407,  6.170)  9.192 
   Cr4   Cr7   ( -1,  -1,   0)  0.5529   (-5.901, -3.407, -6.170)  9.192 
   Cr6   Cr7   ( -1,  -1,   0)  0.0099   (-5.901,  3.407, -6.170)  9.192 
   Cr4   Cr1   ( -1,   0,   0)  0.0096   (-5.901,  3.407, -6.170)  9.192 
   Cr7   Cr6   ( -1,   0,   0)  0.5448   (-5.901,  3.407,  6.170)  9.192 
   Cr6   Cr1   (  0,  -1,   0)  0.5466   (-5.901, -3.407, -6.170)  9.192 
   Cr7   Cr4   (  0,  -1,   0)  0.0081   (-5.901, -3.407,  6.170)  9.192 
   Cr1   Cr6   (  0,   1,   0)  0.5466   ( 5.901,  3.407,  6.170)  9.192 
   Cr4   Cr7   (  0,   1,   0)  0.0081   ( 5.901,  3.407, -6.170)  9.192 
   Cr1   Cr4   (  1,   0,   0)  0.0096   ( 5.901, -3.407,  6.170)  9.192 
   Cr5   Cr8   (  1,   0,   0)  0.0068   ( 5.901, -3.407,  6.170)  9.192 
   Cr6   Cr7   (  1,   0,   0)  0.5448   ( 5.901, -3.407, -6.170)  9.192 
   Cr4   Cr1   (  1,   1,   0)  0.5492   ( 5.901, -3.407, -6.170)  9.192 
   Cr6   Cr1   (  1,   1,   0)  0.0127   ( 5.901,  3.407, -6.170)  9.192 
   Cr7   Cr4   (  1,   1,   0)  0.5529   ( 5.901,  3.407,  6.170)  9.192 
   Cr7   Cr6   (  1,   1,   0)  0.0099   ( 5.901, -3.407,  6.170)  9.192 
   Cr12  Cr10  (  1,   1,  -1)  3.0660   ( 5.901,  3.407, -6.170)  9.192 
   Cr12  Cr11  (  1,   1,  -1)  0.2022   ( 5.901, -3.407, -6.170)  9.192 
   Cr1   Cr8   ( -1,   0,  -1)  1.2332   ( 0.000,  7.099, -6.020)  9.308 
   Cr7   Cr2   (  0,   1,  -1)  1.2045   (-0.000,  7.099, -6.020)  9.308 
   Cr2   Cr7   (  0,  -1,   1)  1.2045   ( 0.000, -7.099,  6.020)  9.308 
   Cr8   Cr1   (  1,   0,   1)  1.2332   (-0.000, -7.099,  6.020)  9.308 
   Cr4   Cr5   ( -1,   1,   0)  1.2181   ( 0.000,  7.099, -6.020)  9.308 
   Cr5   Cr4   (  1,  -1,   0)  1.2181   ( 0.000, -7.099,  6.020)  9.308 
   Cr3   Cr6   (  0,   0,   0)  1.2311   ( 0.000, -7.099,  6.020)  9.308 
   Cr6   Cr3   (  0,   0,   0)  1.2311   (-0.000,  7.099, -6.020)  9.308 
   Cr4   Cr5   ( -1,   1,   1) -0.0420   ( 0.000,  7.099,  6.320)  9.504 
   Cr5   Cr4   (  1,  -1,  -1) -0.0420   ( 0.000, -7.099, -6.320)  9.504 
   Cr1   Cr8   ( -1,   0,   0) -0.0454   ( 0.000,  7.099,  6.320)  9.504 
   Cr8   Cr1   (  1,   0,   0) -0.0454   (-0.000, -7.099, -6.320)  9.504 
   Cr3   Cr6   (  0,   0,  -1) -0.0395   ( 0.000, -7.099, -6.320)  9.504 
   Cr6   Cr3   (  0,   0,   1) -0.0395   (-0.000,  7.099,  6.320)  9.504 
   Cr2   Cr7   (  0,  -1,   0) -0.0428   ( 0.000, -7.099, -6.320)  9.504 
   Cr7   Cr2   (  0,   1,   0) -0.0428   (-0.000,  7.099,  6.320)  9.504 
   Cr5   Cr6   ( -1,   0,   0)  0.0829   (-3.934,  6.529,  6.020)  9.713 
   Cr4   Cr3   (  0,  -1,   0)  0.0782   (-3.934, -6.529, -6.020)  9.713 
   Cr4   Cr3   (  1,   0,   0)  0.0826   ( 3.934, -6.529, -6.020)  9.713 
   Cr1   Cr2   (  0,  -1,  -1)  0.0796   (-3.934, -6.529, -6.020)  9.713 
   Cr7   Cr8   (  0,  -1,  -1)  0.0851   (-3.934, -6.529, -6.020)  9.713 
   Cr1   Cr2   (  1,   0,  -1)  0.0740   ( 3.934, -6.529, -6.020)  9.713 
   Cr7   Cr8   (  1,   0,  -1)  0.0861   ( 3.934, -6.529, -6.020)  9.713 
   Cr2   Cr1   ( -1,   0,   1)  0.0740   (-3.934,  6.529,  6.020)  9.713 
   Cr8   Cr7   ( -1,   0,   1)  0.0861   (-3.934,  6.529,  6.020)  9.713 
   Cr2   Cr1   (  0,   1,   1)  0.0796   ( 3.934,  6.529,  6.020)  9.713 
   Cr8   Cr7   (  0,   1,   1)  0.0851   ( 3.934,  6.529,  6.020)  9.713 
   Cr3   Cr4   ( -1,   0,   0)  0.0826   (-3.934,  6.529,  6.020)  9.713 
   Cr6   Cr5   (  0,  -1,   0)  0.0863   (-3.934, -6.529, -6.020)  9.713 
   Cr3   Cr4   (  0,   1,   0)  0.0782   ( 3.934,  6.529,  6.020)  9.713 
   Cr5   Cr6   (  0,   1,   0)  0.0863   ( 3.934,  6.529,  6.020)  9.713 
   Cr6   Cr5   (  1,   0,   0)  0.0829   ( 3.934, -6.529, -6.020)  9.713 
   Cr3   Cr4   ( -1,   0,  -1) -0.1919   (-3.934,  6.529, -6.320)  9.901 
   Cr5   Cr6   ( -1,   0,  -1) -0.1939   (-3.934,  6.529, -6.320)  9.901 
   Cr3   Cr4   (  0,   1,  -1) -0.1915   ( 3.934,  6.529, -6.320)  9.901 
   Cr5   Cr6   (  0,   1,  -1) -0.1962   ( 3.934,  6.529, -6.320)  9.901 
   Cr4   Cr3   (  0,  -1,   1) -0.1915   (-3.934, -6.529,  6.320)  9.901 
   Cr4   Cr3   (  1,   0,   1) -0.1919   ( 3.934, -6.529,  6.320)  9.901 
   Cr6   Cr5   (  1,   0,   1) -0.1939   ( 3.934, -6.529,  6.320)  9.901 
   Cr8   Cr7   ( -1,   0,   0) -0.1945   (-3.934,  6.529, -6.320)  9.901 
   Cr7   Cr8   (  0,  -1,   0) -0.1951   (-3.934, -6.529,  6.320)  9.901 
   Cr8   Cr7   (  0,   1,   0) -0.1951   ( 3.934,  6.529, -6.320)  9.901 
   Cr7   Cr8   (  1,   0,   0) -0.1945   ( 3.934, -6.529,  6.320)  9.901 
   Cr6   Cr5   (  0,  -1,   1) -0.1962   (-3.934, -6.529,  6.320)  9.901 
   Cr2   Cr1   ( -1,   0,   0) -0.1946   (-3.934,  6.529, -6.320)  9.901 
   Cr1   Cr2   (  0,  -1,   0) -0.1969   (-3.934, -6.529,  6.320)  9.901 
   Cr2   Cr1   (  0,   1,   0) -0.1969   ( 3.934,  6.529, -6.320)  9.901 
   Cr1   Cr2   (  1,   0,   0) -0.1946   ( 3.934, -6.529,  6.320)  9.901 
   Cr1   Cr2   ( -1,  -1,  -1)  0.0449   (-7.868,  0.285, -6.020)  9.911 
   Cr7   Cr8   ( -1,  -1,  -1)  0.0444   (-7.868,  0.285, -6.020)  9.911 
   Cr1   Cr2   (  1,   1,  -1)  0.0422   ( 7.868,  0.285, -6.020)  9.911 
   Cr7   Cr8   (  1,   1,  -1)  0.0429   ( 7.868,  0.285, -6.020)  9.911 
   Cr2   Cr1   ( -1,  -1,   1)  0.0422   (-7.868, -0.285,  6.020)  9.911 
   Cr8   Cr7   ( -1,  -1,   1)  0.0429   (-7.868, -0.285,  6.020)  9.911 
   Cr2   Cr1   (  1,   1,   1)  0.0449   ( 7.868, -0.285,  6.020)  9.911 
   Cr8   Cr7   (  1,   1,   1)  0.0444   ( 7.868, -0.285,  6.020)  9.911 
   Cr3   Cr4   ( -1,  -1,   0)  0.0415   (-7.868, -0.285,  6.020)  9.911 
   Cr4   Cr3   ( -1,  -1,   0)  0.0422   (-7.868,  0.285, -6.020)  9.911 
   Cr5   Cr6   ( -1,  -1,   0)  0.0401   (-7.868, -0.285,  6.020)  9.911 
   Cr6   Cr5   ( -1,  -1,   0)  0.0423   (-7.868,  0.285, -6.020)  9.911 
   Cr3   Cr4   (  1,   1,   0)  0.0422   ( 7.868, -0.285,  6.020)  9.911 
   Cr4   Cr3   (  1,   1,   0)  0.0415   ( 7.868,  0.285, -6.020)  9.911 
   Cr5   Cr6   (  1,   1,   0)  0.0423   ( 7.868, -0.285,  6.020)  9.911 
   Cr6   Cr5   (  1,   1,   0)  0.0401   ( 7.868,  0.285, -6.020)  9.911 
   Cr10  Cr5   ( -1,   0,   0)  0.0670   (-3.934,  0.143, -9.180)  9.989 
   Cr11  Cr3   (  0,  -1,   0)  0.0636   (-3.934,  0.143, -9.180)  9.989 
   Cr3   Cr11  (  0,   1,   0)  0.0636   ( 3.934, -0.143,  9.180)  9.989 
   Cr5   Cr10  (  1,   0,   0)  0.0670   ( 3.934, -0.143,  9.180)  9.989 
   Cr1   Cr12  ( -1,  -1,  -1)  0.0643   (-3.934,  0.143, -9.180)  9.989 
   Cr9   Cr8   ( -1,  -1,  -1)  0.0666   (-3.934,  0.143, -9.180)  9.989 
   Cr1   Cr12  (  0,   0,  -1)  0.0677   ( 3.934,  0.143, -9.180)  9.989 
   Cr12  Cr2   (  0,   0,  -1)  0.0643   (-3.934,  0.143, -9.180)  9.989 
   Cr7   Cr9   (  1,   1,  -1)  0.0597   ( 3.934,  0.143, -9.180)  9.989 
   Cr12  Cr2   (  1,   1,  -1)  0.0626   ( 3.934,  0.143, -9.180)  9.989 
   Cr3   Cr11  ( -1,   0,   0)  0.0655   (-3.934, -0.143,  9.180)  9.989 
   Cr5   Cr10  (  0,  -1,   0)  0.0660   (-3.934, -0.143,  9.180)  9.989 
   Cr10  Cr5   (  0,   1,   0)  0.0660   ( 3.934,  0.143, -9.180)  9.989 
   Cr11  Cr3   (  1,   0,   0)  0.0655   ( 3.934,  0.143, -9.180)  9.989 
   Cr7   Cr9   (  0,   0,  -1)  0.0691   (-3.934,  0.143, -9.180)  9.989 
   Cr9   Cr8   (  0,   0,  -1)  0.0706   ( 3.934,  0.143, -9.180)  9.989 
   Cr2   Cr12  ( -1,  -1,   1)  0.0626   (-3.934, -0.143,  9.180)  9.989 
   Cr9   Cr7   ( -1,  -1,   1)  0.0597   (-3.934, -0.143,  9.180)  9.989 
   Cr10  Cr6   ( -1,   0,   1)  0.0667   (-3.934, -0.143,  9.180)  9.989 
   Cr2   Cr12  (  0,   0,   1)  0.0643   ( 3.934, -0.143,  9.180)  9.989 
   Cr12  Cr1   (  0,   0,   1)  0.0677   (-3.934, -0.143,  9.180)  9.989 
   Cr8   Cr9   (  1,   1,   1)  0.0666   ( 3.934, -0.143,  9.180)  9.989 
   Cr12  Cr1   (  1,   1,   1)  0.0643   ( 3.934, -0.143,  9.180)  9.989 
   Cr11  Cr4   (  0,  -1,   1)  0.0684   (-3.934, -0.143,  9.180)  9.989 
   Cr6   Cr10  (  0,  -1,  -1)  0.0623   (-3.934,  0.143, -9.180)  9.989 
   Cr6   Cr10  (  1,   0,  -1)  0.0667   ( 3.934,  0.143, -9.180)  9.989 
   Cr4   Cr11  ( -1,   0,  -1)  0.0699   (-3.934,  0.143, -9.180)  9.989 
   Cr4   Cr11  (  0,   1,  -1)  0.0684   ( 3.934,  0.143, -9.180)  9.989 
   Cr8   Cr9   (  0,   0,   1)  0.0706   (-3.934, -0.143,  9.180)  9.989 
   Cr9   Cr7   (  0,   0,   1)  0.0691   ( 3.934, -0.143,  9.180)  9.989 
   Cr10  Cr6   (  0,   1,   1)  0.0623   ( 3.934, -0.143,  9.180)  9.989 
   Cr11  Cr4   (  1,   0,   1)  0.0699   ( 3.934, -0.143,  9.180)  9.989 
